# mur		muf		alpsfact	dynamical_scale	pdf		cross-section
1.0		1.0		1.0		-1		247000		1.0192487e-24
0.5		0.5		1.0		-1		247000		1.1595545540323548e-24
0.5		0.5		1.0		1		247000		1.2145965849377206e-24
0.5		0.5		1.0		2		247000		1.2029136487206462e-24
0.5		0.5		1.0		3		247000		1.3798063313093993e-24
0.5		0.5		1.0		4		247000		1.1595545558887363e-24
0.5		1.0		1.0		-1		247000		1.0192487e-24
0.5		1.0		1.0		1		247000		1.0652150300459367e-24
0.5		1.0		1.0		2		247000		1.055391267133194e-24
0.5		1.0		1.0		3		247000		1.2029136487206462e-24
0.5		1.0		1.0		4		247000		1.0192487015526764e-24
0.5		2.0		1.0		-1		247000		9.0162460959752e-25
0.5		2.0		1.0		1		247000		9.402405915370405e-25
0.5		2.0		1.0		2		247000		9.319376417473866e-25
0.5		2.0		1.0		3		247000		1.055391267133194e-24
0.5		2.0		1.0		4		247000		9.016246109039556e-25
1.0		0.5		1.0		-1		247000		1.1595545540323548e-24
1.0		0.5		1.0		1		247000		1.2145965849377206e-24
1.0		0.5		1.0		2		247000		1.2029136487206462e-24
1.0		0.5		1.0		3		247000		1.3798063313093993e-24
1.0		0.5		1.0		4		247000		1.1595545558887363e-24
1.0		1.0		1.0		1		247000		1.0652150300459367e-24
1.0		1.0		1.0		2		247000		1.055391267133194e-24
1.0		1.0		1.0		3		247000		1.2029136487206462e-24
1.0		1.0		1.0		4		247000		1.0192487015526764e-24
1.0		2.0		1.0		-1		247000		9.0162460959752e-25
1.0		2.0		1.0		1		247000		9.402405915370405e-25
1.0		2.0		1.0		2		247000		9.319376417473866e-25
1.0		2.0		1.0		3		247000		1.055391267133194e-24
1.0		2.0		1.0		4		247000		9.016246109039556e-25
2.0		0.5		1.0		-1		247000		1.1595545540323548e-24
2.0		0.5		1.0		1		247000		1.2145965849377206e-24
2.0		0.5		1.0		2		247000		1.2029136487206462e-24
2.0		0.5		1.0		3		247000		1.3798063313093993e-24
2.0		0.5		1.0		4		247000		1.1595545558887363e-24
2.0		1.0		1.0		-1		247000		1.0192487e-24
2.0		1.0		1.0		1		247000		1.0652150300459367e-24
2.0		1.0		1.0		2		247000		1.055391267133194e-24
2.0		1.0		1.0		3		247000		1.2029136487206462e-24
2.0		1.0		1.0		4		247000		1.0192487015526764e-24
2.0		2.0		1.0		-1		247000		9.0162460959752e-25
2.0		2.0		1.0		1		247000		9.402405915370405e-25
2.0		2.0		1.0		2		247000		9.319376417473866e-25
2.0		2.0		1.0		3		247000		1.055391267133194e-24
2.0		2.0		1.0		4		247000		9.016246109039556e-25
1.0		1.0		1.0		-1		247000		1.0192487e-24
1.0		1.0		1.0		-1		247001		1.0617225032116726e-24
1.0		1.0		1.0		-1		247002		1.0870142289504582e-24
1.0		1.0		1.0		-1		247003		1.0354785273514423e-24
1.0		1.0		1.0		-1		247004		9.5446314593354e-25
1.0		1.0		1.0		-1		247005		1.261309602771355e-24
1.0		1.0		1.0		-1		247006		9.737677079698267e-25
1.0		1.0		1.0		-1		247007		9.597049215442823e-25
1.0		1.0		1.0		-1		247008		1.0207786809361206e-24
1.0		1.0		1.0		-1		247009		1.0665626303965163e-24
1.0		1.0		1.0		-1		247010		1.0834556777849098e-24
1.0		1.0		1.0		-1		247011		9.454817961596418e-25
1.0		1.0		1.0		-1		247012		1.0585627055167037e-24
1.0		1.0		1.0		-1		247013		9.192977956676254e-25
1.0		1.0		1.0		-1		247014		1.1010478851811297e-24
1.0		1.0		1.0		-1		247015		1.0189503974661877e-24
1.0		1.0		1.0		-1		247016		8.61877782487625e-25
1.0		1.0		1.0		-1		247017		9.569901641053408e-25
1.0		1.0		1.0		-1		247018		1.0578085811424692e-24
1.0		1.0		1.0		-1		247019		9.93962870760749e-25
1.0		1.0		1.0		-1		247020		9.923638578778562e-25
1.0		1.0		1.0		-1		247021		1.0354104482047556e-24
1.0		1.0		1.0		-1		247022		1.0248263776244244e-24
1.0		1.0		1.0		-1		247023		1.245856251812624e-24
1.0		1.0		1.0		-1		247024		1.1265045396692104e-24
1.0		1.0		1.0		-1		247025		1.0889018896296893e-24
1.0		1.0		1.0		-1		247026		9.688285340605281e-25
1.0		1.0		1.0		-1		247027		8.980945874237863e-25
1.0		1.0		1.0		-1		247028		9.267356748458359e-25
1.0		1.0		1.0		-1		247029		1.1760761192291548e-24
1.0		1.0		1.0		-1		247030		1.1114892352532237e-24
1.0		1.0		1.0		-1		247031		1.0257439851700122e-24
