massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
900	200	200	0.1	500	0.0008325139499999977
900	200	200	0.14384498882876628	500	0.0019210238759999993
900	200	200	0.20691380811147897	500	0.005800738514000012
900	200	200	0.29763514416313175	500	0.015752426495999998
900	200	200	0.42813323987193935	500	0.03613068423999994
900	200	200	0.6158482110660264	500	0.04318018485799996
900	200	200	0.8858667904100825	500	0.06997759871199996
900	200	200	1.2742749857031335	500	0.06897171051999998
900	200	200	1.8329807108324356	500	0.05977741210799993
900	200	200	2.636650898730358	500	0.04115292392199998
900	200	200	3.79269019073225	500	0.026328335851999996
900	200	200	5.455594781168517	500	0.012832223836000002
900	200	200	7.847599703514611	500	0.013815857761999992
900	200	200	11.288378916846883	500	0.006354861574
900	200	200	16.23776739188721	500	0.0028584998380000014
900	200	200	23.357214690901213	500	0.0007329304940000001
900	200	200	33.59818286283781	500	5.8540546e-05
900	200	200	48.32930238571752	500	1.7602537999999997e-05
900	200	200	69.51927961775606	500	3.617404800000001e-05
900	200	200	100.0	500	3.6061992e-05
