massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
200	50	50	0.1	10000	7.912433809999858e-05
200	50	50	0.10353218432956621	10000	6.991995079999938e-05
200	50	50	0.10718913192051278	10000	5.618088690000056e-05
200	50	50	0.11097524964120718	10000	7.13797076999994e-05
200	50	50	0.11489510001873092	10000	7.997539784999869e-05
200	50	50	0.11895340673703195	10000	0.00011311043899999883
200	50	50	0.12315506032928256	10000	8.651938009999838e-05
200	50	50	0.12750512407130132	10000	0.00010271919214999865
200	50	50	0.1320088400831418	10000	9.421376254999868e-05
200	50	50	0.13667163564620066	10000	0.0001265492807000009
200	50	50	0.1414991297434576	10000	0.00011360025839999923
200	50	50	0.14649713983072857	10000	0.00010310685234999832
200	50	50	0.15167168884709228	10000	0.00012458191234999966
200	50	50	0.1570290124729377	10000	0.0001611774510000023
200	50	50	0.16257556664437942	10000	0.00012924714280000083
200	50	50	0.16831803533309567	10000	0.00016778014790000143
200	50	50	0.174263338600965	10000	0.00022170441785000384
200	50	50	0.18041864093920723	10000	0.00017353212750000188
200	50	50	0.1867913599020783	10000	0.00017847002270000178
200	50	50	0.1933891750455231	10000	0.00015182209720000138
200	50	50	0.20022003718155845	10000	0.00018133566390000216
200	50	50	0.20729217795953708	10000	0.00021396102075000188
200	50	50	0.2146141197858404	10000	0.000249778246400004
200	50	50	0.22219468609395238	10000	0.0002920745893000059
200	50	50	0.2300430119772918	10000	0.00026213131780000384
200	50	50	0.23816855519761582	10000	0.0003975517222000056
200	50	50	0.24658110758226026	10000	0.00025910209215000447
200	50	50	0.2552908068239517	10000	0.000334322340650007
200	50	50	0.26430814869741054	10000	0.0003754268484500056
200	50	50	0.27364399970746706	10000	0.00029163057378400373
200	50	50	0.2833096101839324	10000	0.0003917330878500067
200	50	50	0.29331662783900436	10000	0.00037922052250000544
200	50	50	0.30367711180354584	10000	0.0005513868549499996
200	50	50	0.31440354715915003	10000	0.00047014085516700207
200	50	50	0.3255088599835058	10000	0.0005208616985499965
200	50	50	0.33700643292719284	10000	0.0005540148569999948
200	50	50	0.3489101213406773	10000	0.00048481369176699775
200	50	50	0.36123426997094316	10000	0.0005634254470839973
200	50	50	0.3739937302478797	10000	0.0007118909123509925
200	50	50	0.3872038781812555	10000	0.0007002094204849881
200	50	50	0.40088063288984643	10000	0.0006952725103169924
200	50	50	0.41504047578504755	10000	0.0008943370696849903
200	50	50	0.42970047043208404	10000	0.000921000615818989
200	50	50	0.4448782831127584	10000	0.0007643780387839887
200	50	50	0.4605922041145106	10000	0.000796017308034988
200	50	50	0.47686116977144694	10000	0.0010331620151669877
200	50	50	0.49370478528390027	10000	0.001019650164983988
200	50	50	0.5111433483440166	10000	0.0010953271413999877
200	50	50	0.5291978735958442	10000	0.0011400905022869894
200	50	50	0.5478901179593942	10000	0.0011758999409689891
200	50	50	0.5672426068491978	10000	0.001377271637034987
200	50	50	0.5872786613189481	10000	0.0014844134851679906
200	50	50	0.6080224261649423	10000	0.001453404840335988
200	50	50	0.6294988990221888	10000	0.0016561954182689942
200	50	50	0.6517339604882424	10000	0.001782460384119003
200	50	50	0.6747544053110693	10000	0.0016918842205029974
200	50	50	0.6985879746785247	10000	0.002139443537736014
200	50	50	0.7232633896483536	10000	0.0021482350810190036
200	50	50	0.7488103857590023	10000	0.0019757881927520067
200	50	50	0.775259748862946	10000	0.001998457007136003
200	50	50	0.8026433522257174	10000	0.0021441964600200088
200	50	50	0.8309941949353393	10000	0.00249341672772102
200	50	50	0.8603464416684502	10000	0.0025971134987530144
200	50	50	0.890735463861044	10000	0.0025309682174860194
200	50	50	0.9221978823334327	10000	0.00224161614737101
200	50	50	0.9547716114208056	10000	0.0024838808406210124
200	50	50	0.9884959046625583	10000	0.0022331378244350043
200	50	50	1.0234114021054532	10000	0.0028116155582190226
200	50	50	1.059560179277616	10000	0.002616130296887017
200	50	50	1.0969857978923836	10000	0.0030175418999870167
200	50	50	1.135733358343105	10000	0.0026860882996860153
200	50	50	1.1758495540521563	10000	0.002668223932620014
200	50	50	1.2173827277396614	10000	0.0030676978281710173
200	50	50	1.2603829296797273	10000	0.0029238344899720093
200	50	50	1.3049019780144022	10000	0.002809801143187019
200	50	50	1.3509935211980264	10000	0.0032333621803860135
200	50	50	1.398713102647238	10000	0.003136393595588011
200	50	50	1.4481182276745337	10000	0.0028833541116860175
200	50	50	1.4992684327860455	10000	0.003250385505470011
200	50	50	1.5522253574270473	10000	0.0028755756146530134
200	50	50	1.6070528182616384	10000	0.002610816406104011
200	50	50	1.6638168860761282	10000	0.0030757292967690105
200	50	50	1.7225859653987865	10000	0.0028705631682350136
200	50	50	1.7834308769319094	10000	0.002801602314353006
200	50	50	1.8464249428955435	10000	0.0025348193352530066
200	50	50	1.9116440753857018	10000	0.002607870700503012
200	50	50	1.9791668678535563	10000	0.002722851064469005
