massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
600	150	150	0.1	10000	0.0002507621609999976
600	150	150	0.10353218432956621	10000	0.00029749701299999006
600	150	150	0.10718913192051278	10000	0.00043279262379998913
600	150	150	0.11097524964120718	10000	0.00040158751799998846
600	150	150	0.11489510001873092	10000	0.0005275477722999928
600	150	150	0.11895340673703195	10000	0.000638708829399997
600	150	150	0.12315506032928256	10000	0.0006125108303999973
600	150	150	0.12750512407130132	10000	0.0006202503493999988
600	150	150	0.1320088400831418	10000	0.0009397720359000059
600	150	150	0.13667163564620066	10000	0.0006764680764999988
600	150	150	0.1414991297434576	10000	0.0008541970300000027
600	150	150	0.14649713983072857	10000	0.0011519513534000126
600	150	150	0.15167168884709228	10000	0.0013722546754000229
600	150	150	0.1570290124729377	10000	0.001293475235200016
600	150	150	0.16257556664437942	10000	0.0012117266798000131
600	150	150	0.16831803533309567	10000	0.0015437691176000252
600	150	150	0.174263338600965	10000	0.0018684040941000116
600	150	150	0.18041864093920723	10000	0.002024528888999995
600	150	150	0.1867913599020783	10000	0.0021108757511999997
600	150	150	0.1933891750455231	10000	0.002387726813999991
600	150	150	0.20022003718155845	10000	0.0026849751087999847
600	150	150	0.20729217795953708	10000	0.0029797890668999765
600	150	150	0.2146141197858404	10000	0.0030806404656999772
600	150	150	0.22219468609395238	10000	0.003420142696099981
600	150	150	0.2300430119772918	10000	0.0040871551917999955
600	150	150	0.23816855519761582	10000	0.004653038993100034
600	150	150	0.24658110758226026	10000	0.005022815284100032
600	150	150	0.2552908068239517	10000	0.005582278368900044
600	150	150	0.26430814869741054	10000	0.005814548799600058
600	150	150	0.27364399970746706	10000	0.006821325624100033
600	150	150	0.2833096101839324	10000	0.007585390197700002
600	150	150	0.29331662783900436	10000	0.007767465320399997
600	150	150	0.30367711180354584	10000	0.009225371346199933
600	150	150	0.31440354715915003	10000	0.00891686646549998
600	150	150	0.3255088599835058	10000	0.01038825302349994
600	150	150	0.33700643292719284	10000	0.011711052410399924
600	150	150	0.3489101213406773	10000	0.012990433828799894
600	150	150	0.36123426997094316	10000	0.013618130862899903
600	150	150	0.3739937302478797	10000	0.014032182547999915
600	150	150	0.3872038781812555	10000	0.014790294106799903
600	150	150	0.40088063288984643	10000	0.0160391817129999
600	150	150	0.41504047578504755	10000	0.018760968948499906
600	150	150	0.42970047043208404	10000	0.018979819128999962
600	150	150	0.4448782831127584	10000	0.019914681512499855
600	150	150	0.4605922041145106	10000	0.022359572216799874
600	150	150	0.47686116977144694	10000	0.022601102543099848
600	150	150	0.49370478528390027	10000	0.024665359238299912
600	150	150	0.5111433483440166	10000	0.024339388863899816
600	150	150	0.5291978735958442	10000	0.025920023941099907
600	150	150	0.5478901179593942	10000	0.027800822534799846
600	150	150	0.5672426068491978	10000	0.02933259129819989
600	150	150	0.5872786613189481	10000	0.03236207089589991
600	150	150	0.6080224261649423	10000	0.032938029900899904
600	150	150	0.6294988990221888	10000	0.03308603776869992
600	150	150	0.6517339604882424	10000	0.035316744331300075
600	150	150	0.6747544053110693	10000	0.037749659049899874
600	150	150	0.6985879746785247	10000	0.038616233985500015
600	150	150	0.7232633896483536	10000	0.03922862391969991
600	150	150	0.7488103857590023	10000	0.04095509978720019
600	150	150	0.775259748862946	10000	0.040768454191000066
600	150	150	0.8026433522257174	10000	0.04118516756999997
600	150	150	0.8309941949353393	10000	0.04529675822760024
600	150	150	0.8603464416684502	10000	0.04417836432960016
