massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
125	55	55	0.1	10000	8.644756700000017e-06
125	55	55	0.10353218432956621	10000	8.140604000000007e-06
125	55	55	0.10718913192051278	10000	1.4598634000000033e-05
125	55	55	0.11097524964120718	10000	8.624932100000022e-06
125	55	55	0.11489510001873092	10000	1.0547296700000027e-05
125	55	55	0.11895340673703195	10000	1.8081940749999977e-05
125	55	55	0.12315506032928256	10000	1.8818282599999993e-05
125	55	55	0.12750512407130132	10000	4.066257660000007e-05
125	55	55	0.1320088400831418	10000	1.790236789999998e-05
125	55	55	0.13667163564620066	10000	2.656272179999999e-05
125	55	55	0.1414991297434576	10000	3.843702840000008e-05
125	55	55	0.14649713983072857	10000	2.9998055700000015e-05
125	55	55	0.15167168884709228	10000	4.019424420000001e-05
125	55	55	0.1570290124729377	10000	3.784820739999999e-05
125	55	55	0.16257556664437942	10000	3.3881809700000024e-05
125	55	55	0.16831803533309567	10000	5.4828676300000124e-05
125	55	55	0.174263338600965	10000	5.8207768e-05
125	55	55	0.18041864093920723	10000	8.06801224669999e-05
125	55	55	0.1867913599020783	10000	2.783969019999999e-05
125	55	55	0.1933891750455231	10000	3.976755290000005e-05
125	55	55	0.20022003718155845	10000	0.00012140947390000012
125	55	55	0.20729217795953708	10000	4.036360440000005e-05
125	55	55	0.2146141197858404	10000	6.572984310000009e-05
125	55	55	0.22219468609395238	10000	7.231228170000002e-05
125	55	55	0.2300430119772918	10000	6.266640240000001e-05
125	55	55	0.23816855519761582	10000	0.0001397178055999999
125	55	55	0.24658110758226026	10000	0.0001696598589999999
125	55	55	0.2552908068239517	10000	6.773410020000002e-05
125	55	55	0.26430814869741054	10000	0.00014769986289999999
125	55	55	0.27364399970746706	10000	0.0001425496429999999
125	55	55	0.2833096101839324	10000	9.407262410000004e-05
125	55	55	0.29331662783900436	10000	0.00019013782479999984
125	55	55	0.30367711180354584	10000	0.00015329356584999987
125	55	55	0.31440354715915003	10000	0.000145447954267
125	55	55	0.3255088599835058	10000	0.00011420691489999997
125	55	55	0.33700643292719284	10000	0.00020928410620000014
125	55	55	0.3489101213406773	10000	0.00016793300350000006
125	55	55	0.36123426997094316	10000	0.00020101004569999983
125	55	55	0.3739937302478797	10000	0.00023988555294999993
125	55	55	0.3872038781812555	10000	0.00023663223870000038
125	55	55	0.40088063288984643	10000	0.00021637540784999994
125	55	55	0.41504047578504755	10000	0.00029322025395000026
125	55	55	0.42970047043208404	10000	0.00019203742339999992
125	55	55	0.4448782831127584	10000	0.00039606694320000046
125	55	55	0.4605922041145106	10000	0.0002289397497
125	55	55	0.47686116977144694	10000	0.0003475591228500007
125	55	55	0.49370478528390027	10000	0.0002959992055500003
125	55	55	0.5111433483440166	10000	0.0003366962181500004
125	55	55	0.5291978735958442	10000	0.0003449098190000004
125	55	55	0.5478901179593942	10000	0.0002955888856500004
125	55	55	0.5672426068491978	10000	0.0004481401713000002
125	55	55	0.5872786613189481	10000	0.0002857588776000004
125	55	55	0.6080224261649423	10000	0.0004476434275500001
125	55	55	0.6294988990221888	10000	0.0004212521547170006
125	55	55	0.6517339604882424	10000	0.00046090815325000063
125	55	55	0.6747544053110693	10000	0.00044349451800000043
125	55	55	0.6985879746785247	10000	0.00042011415450000033
125	55	55	0.7232633896483536	10000	0.0004458875236000007
125	55	55	0.7488103857590023	10000	0.00042899187920000044
125	55	55	0.775259748862946	10000	0.0003898532983170007
125	55	55	0.8026433522257174	10000	0.00044068372313399993
125	55	55	0.8309941949353393	10000	0.0003871027647670004
125	55	55	0.8603464416684502	10000	0.00047920202581699955
125	55	55	0.890735463861044	10000	0.0004229929999000003
125	55	55	0.9221978823334327	10000	0.0007498154289499985
125	55	55	0.9547716114208056	10000	0.0004898966205670004
125	55	55	0.9884959046625583	10000	0.0005198992992339998
125	55	55	1.0234114021054532	10000	0.0006616117853669993
125	55	55	1.059560179277616	10000	0.0006375660459669998
125	55	55	1.0969857978923836	10000	0.00044934996125000026
