massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
400	100	100	0.1	10000	0.000354662109099999
400	100	100	0.10353218432956621	10000	0.0004022731096999974
400	100	100	0.10718913192051278	10000	0.00042527306349999714
400	100	100	0.11097524964120718	10000	0.0006812405245999883
400	100	100	0.11489510001873092	10000	0.000568793733199995
400	100	100	0.11895340673703195	10000	0.0005570294654999928
400	100	100	0.12315506032928256	10000	0.000521426889799998
400	100	100	0.12750512407130132	10000	0.0008125078512999943
400	100	100	0.1320088400831418	10000	0.000737263784299985
400	100	100	0.13667163564620066	10000	0.0008440576408000056
400	100	100	0.1414991297434576	10000	0.0009836581728000194
400	100	100	0.14649713983072857	10000	0.0007515751463999876
400	100	100	0.15167168884709228	10000	0.000982177702000028
400	100	100	0.1570290124729377	10000	0.0011277796146000483
400	100	100	0.16257556664437942	10000	0.0012258581047000674
400	100	100	0.16831803533309567	10000	0.0011869630702000611
400	100	100	0.174263338600965	10000	0.0013916542217000676
400	100	100	0.18041864093920723	10000	0.00167480900970011
400	100	100	0.1867913599020783	10000	0.0016252158999000808
400	100	100	0.1933891750455231	10000	0.0018844168152001
400	100	100	0.20022003718155845	10000	0.002110288769600108
400	100	100	0.20729217795953708	10000	0.0019768948707001
400	100	100	0.2146141197858404	10000	0.002067282394700105
400	100	100	0.22219468609395238	10000	0.0025303848586000965
400	100	100	0.2300430119772918	10000	0.002944535872700088
400	100	100	0.23816855519761582	10000	0.002925369633900095
400	100	100	0.24658110758226026	10000	0.003138691386600097
400	100	100	0.2552908068239517	10000	0.003437826739000034
400	100	100	0.26430814869741054	10000	0.003919470270299946
400	100	100	0.27364399970746706	10000	0.004189664918299899
400	100	100	0.2833096101839324	10000	0.004572340637199851
400	100	100	0.29331662783900436	10000	0.004904654594899794
400	100	100	0.30367711180354584	10000	0.0049417081559997595
400	100	100	0.31440354715915003	10000	0.005488320560499721
400	100	100	0.3255088599835058	10000	0.006255735047899693
400	100	100	0.33700643292719284	10000	0.005956673534199681
400	100	100	0.3489101213406773	10000	0.0070272870199996834
400	100	100	0.36123426997094316	10000	0.007305359595699679
400	100	100	0.3739937302478797	10000	0.008252755604199712
400	100	100	0.3872038781812555	10000	0.008783360728799695
400	100	100	0.40088063288984643	10000	0.008933774952499751
400	100	100	0.41504047578504755	10000	0.009931469445799765
400	100	100	0.42970047043208404	10000	0.010127474627699772
400	100	100	0.4448782831127584	10000	0.011008992342199807
400	100	100	0.4605922041145106	10000	0.011776738173199845
400	100	100	0.47686116977144694	10000	0.01230068250699984
400	100	100	0.49370478528390027	10000	0.012899688871799868
400	100	100	0.5111433483440166	10000	0.013504217289399935
400	100	100	0.5291978735958442	10000	0.014378912950399985
400	100	100	0.5478901179593942	10000	0.015424874055200103
400	100	100	0.5672426068491978	10000	0.016042565425000068
400	100	100	0.5872786613189481	10000	0.01684537199100013
400	100	100	0.6080224261649423	10000	0.016049885573800056
400	100	100	0.6294988990221888	10000	0.018320357364400196
400	100	100	0.6517339604882424	10000	0.01858053084010027
400	100	100	0.6747544053110693	10000	0.019830361315600207
400	100	100	0.6985879746785247	10000	0.020174785108500244
400	100	100	0.7232633896483536	10000	0.02130891100480029
400	100	100	0.7488103857590023	10000	0.021916285335400278
400	100	100	0.775259748862946	10000	0.0212208501271003
400	100	100	0.8026433522257174	10000	0.02271424455110025
400	100	100	0.8309941949353393	10000	0.024011706573400373
400	100	100	0.8603464416684502	10000	0.02397374702730027
400	100	100	0.890735463861044	10000	0.02400200310670023
400	100	100	0.9221978823334327	10000	0.02419799021380036
400	100	100	0.9547716114208056	10000	0.024793299648800247
400	100	100	0.9884959046625583	10000	0.026148558057800284
400	100	100	1.0234114021054532	10000	0.026201541546600187
400	100	100	1.059560179277616	10000	0.02724171816040023
400	100	100	1.0969857978923836	10000	0.02578151553450034
400	100	100	1.135733358343105	10000	0.025981451343300252
400	100	100	1.1758495540521563	10000	0.026487387749300303
400	100	100	1.2173827277396614	10000	0.02794338717450021
400	100	100	1.2603829296797273	10000	0.02724872086070018
400	100	100	1.3049019780144022	10000	0.026374500416600197
400	100	100	1.3509935211980264	10000	0.02562784924680018
400	100	100	1.398713102647238	10000	0.02643753440960022
400	100	100	1.4481182276745337	10000	0.025713585243900154
400	100	100	1.4992684327860455	10000	0.0268953254524002
400	100	100	1.5522253574270473	10000	0.02501468978650015
400	100	100	1.6070528182616384	10000	0.02474640208910012
400	100	100	1.6638168860761282	10000	0.025039496827900184
400	100	100	1.7225859653987865	10000	0.024618534740200145
400	100	100	1.7834308769319094	10000	0.02375588768410014
400	100	100	1.8464249428955435	10000	0.02432279552780013
400	100	100	1.9116440753857018	10000	0.023796177483700134
400	100	100	1.9791668678535563	10000	0.021475630981000093
400	100	100	2.049074689815847	10000	0.022411814771599994
400	100	100	2.12145178491063	10000	0.02177638181440008
400	100	100	2.196385372416546	10000	0.02104427657230004
400	100	100	2.2739657523579275	10000	0.021029534031099986
400	100	100	2.3542864143224165	10000	0.020393702400699987
400	100	100	2.4374441501222206	10000	0.018856437367600024
400	100	100	2.523539170434766	10000	0.019147014116900025
400	100	100	2.612675225563328	10000	0.019287405550300014
400	100	100	2.704959730463134	10000	0.018462155854999954
400	100	100	2.800503894183631	10000	0.01718079196539997
400	100	100	2.899422853882877	10000	0.015803143054199983
400	100	100	3.001835813575589	10000	0.016364099539299976
400	100	100	3.107866187782012	10000	0.01606040279800001
400	100	100	3.2176417502507353	10000	0.014692122666799949
400	100	100	3.3312947879346737	10000	0.013433070255799928
400	100	100	3.448962260405758	10000	0.013659465938099948
400	100	100	3.5707859649004625	10000	0.013849712327899982
400	100	100	3.6969127071950263	10000	0.012188617506699981
400	100	100	3.827494478516311	10000	0.012497497457599965
400	100	100	3.9626886387014784	10000	0.011960414921499966
400	100	100	4.102658105827192	10000	0.011476669333999953
400	100	100	4.247571552536899	10000	0.01102262806519996
400	100	100	4.397603609302719	10000	0.009722120007799965
400	100	100	4.552935074866948	10000	0.008885771175799952
400	100	100	4.7137531341167245	10000	0.008991839647899973
400	100	100	4.880251583654431	10000	0.008098184887599974
400	100	100	5.05263106533568	10000	0.008555416428599959
400	100	100	5.231099308056261	10000	0.007477205253799971
400	100	100	5.415871378079471	10000	0.007488838023299988
400	100	100	5.607169938205458	10000	0.007704042414599978
400	100	100	5.8052255160948985	10000	0.00693557731189999
400	100	100	6.010276782070382	10000	0.005958454821099985
400	100	100	6.222570836730228	10000	0.006502415527699991
400	100	100	6.44236350872137	10000	0.005274015539799987
400	100	100	6.669919663030122	10000	0.00538655755119999
400	100	100	6.9055135201623274	10000	0.00468497685619999
